/edit/: 2.8.65
/state/: Max Score = 585, Eg Score = 100

Room Table
──────────
/rooms/: 190 of 200 rooms { desc1, desc2, exit, actio, val, flag; }
#06257,
#06265,
#06272,
#06277,
#06280,
#06286,
#06289,
#06295,
#06302,
#06308,
#06311,
#06314,
#06317,
#06347,
#06385,
#06423,
#06428,
#06444,
#06450,
#06455,
#06618,
#06629,
#06643,
#06667,
#06682,
#06696,
#06732,
#06733,
#06735,
#06736,
#06738,
#06739,
#06741,
#06742,
#06744,
#06765,
#06795,
#06834,
#06858,
#06868,
#06885,
#06894,
#06907,
#06946,
#07031,
#07032,
#07033,
#07034,
#07035,
#07036,
#07037,
#07038,
#07039,
#07058,
#07073,
#07080,
#07099,
#07127,
#07210,
#07282,
#07288,
#07292,
#07296,
#07302,
#07309,
#07316,
#07322,
#07330,
#07334,
#07342,
#07351,
#07359,
#07367,
#07375,
#07386,
#07414,
#07425,
#07448,
#07452,
#07482,
#07490,
#07496,
#07501,
#07506,
#07511,
#07517,
#07523,
#07528,
#07532,
#07536,
#07541,
#07548,
#07555,
#07560,
#07564,
#07568,
#07571,
#07574,
#07585,
#07588,
#07705,
#07708,
#07720,
#07729,
#07740,
#07749,
#07756,
#07763,
#07769,
#07776,
#07780,
#07783,
#07786,
#07791,
#07797,
#07800,
#07806,
#07812,
#07817,
#07823,
#07829,
#07835,
#04823,
#07841,
#07884,
#07892,
#07896,
#07900,
#07903,
#07910,
#07913,
#07917,
#07922,
#07931,
#07940,
#07949,
#07958,
#07961,
#07967,
#07972,
#07976,
#07983,
#07987,
#07994,
#07999,
#08003,
#08009,
#08015,
#08022,
#08026,
#08031,
#08039,
#08047,
#08059,
#08071,
#08079,
#08084,
#08089,
#08117,
#08142,
#08148,
#08154,
#08159,
#08164,
#08168,
#08174,
#08180,
#08185,
#08203,
#08210,
#08214,
#08220,
#08228,
#08233,
#08244,
#08248,
#08254,
#08260,
#08267,
#08275,
#08280,
#08286,
#08292,
#08299,
#08303,
#08307,
#08312,
#08319,
#08325,
#08331,
#08336,
#08351,
#08355,
#08365,
#08374,
#08403,
#08423,
#08427,
#08429,
#08437,
#08453,
#08458,
#08465,
#08472,
#08485,
#08498,
#08506,
#08514,
#08520,
#08524,
#08578,
#08587,
#08591,
#08596,
#08603,
#08609,
#08623,
#08626,
#08631,
#08637,
#08643,
#08647,
#08653,
#08660,
#08665,
#08671,
#08678,
#08686,
#08693,
#08701,
#08709,
#08717,
#08724,
#08729,
#08738,
#08747,
#08753,
#08760,
#08767,
#08775,
#08780,
#08637,
#08786,
#08647,
#08791,
#08797,
#08802,
#08805,
#08813,
#08686,
#08820,
#08828,
#08709,
#08717,
#08724,
#08837,
#08845,
#08854,
#08859,
#08864,
#08872,
#08879,
#08887,
#08893,
#08900,
#08909,
#08914,
#08922,
#08929,
#08936,
#08942,
#08949,
#08955,
#08964,
#08969,
#08980,
#08987,
#08995,
#09005,
#09010,
#09017,
#09024,
#09035,
#09046,
#09054,
#09061,
#09067,
#09077,
#09087,
#09096,
#09104,
#09113,
#09121,
#09127,
#09132,
#09138,
#09145,
#09155,
#09161,
#09166,
#09173,
#09178,
#09184,
#09191,
#09200,
#09208,
#09216,
#09223,
#09229,
#09242,
#09252,
#09263,
#09269,
#09276,
#09282,
#09291,
#09299,
#09307,
#09316,
#09321,
#09333,
#09340,
#09347,
#09355,
#09360,
#09370,
#09378,
#09391,
#09395,
#09403,
#09411,
#09422,
#09435,
#09444,
#09452,
#09463,
#09473,
#09482,
#09488,
#09499,
#09509,
#09519,
#09529,
#09540,
#09547,
#09561,
#09571,
#09579,
#09589,
#09599,
#09606,
#09613,
#09623,
#09633,
#09645,
#09660,
#09670,
#09683,
#09696,
#09704,
#09721,
#09728,
#09730,
#09738,
#09751,
#09767,
#09782,
#09801,
#09828,
#09841,
#09864,
#09881,
#09896,
#09909,
#09928,
#09959,
#09970,
#09983,
#09995,
#10012,
#10025,
#10046,
#10092,
#10116,
#10134,
#10168,
#10190,
#10210,
#10218,
#10239,
#10245,
#10264,
#10288,
#10312,
#10330,
#10356,
#10365,
#10379,
#10398,
#10413,
#10422,
#10461,
#10470,
#10486,
#10517,
#10529,
#10553,
#10609,
#10628,
#10657,
#10711,
#10734,
#10771,
#10787,
#10807,
#10833,
#10852,
#10866,
#10890,
#10903,
#10925,
#10942,
#10957,
#10966,
#10979,
#10999,
#11037,
#11062,
#11096,
#11171,
#11191,
#11206,
#11224,
#11249,
#11266,
#11292,
#11333,
#11357,
#11372,
#11429,
#11452,
#11457,
#11482,
#11508,
#11550,
#11589,
#11613,
#11686,
#11723,
#11760,
#11815,
#11828,
#11837,
#11892,
#11912,
#11936,
#11963,
#11981,
#11999,
#12120,
#12150,
#12153,
#12155,
#12157,
#12159,
#12161,
#12162,
#12163,
#12165,
#12166,
#12168,
#12169,
#12171,
#12173,
#12174,
#12176,
#12178,
#12180,
#12182,
#12184,
#12186,
#12188,
#12189,
#12191,
#12193,
#12195,
#12197,
#12199,
#12201,
#12203,
#12204,
#12206,
#12208,
#12210,
#12212,
#12214,
#12216,
#12218,
#12220,
#12222,
#12224,
#12226,
#12228,
#12230,
#12232,
#12234,
#12236,
#12238,
#12240,
#12242,
#12244,
#12247,
#12249,
#12251,
#12254,
#12255,
#12257,
#12259,
#12261,
#12263,
#12265,
#12268,
#12271,
#12273,
#12274,
#12275,
#12276,
#12278,
#12281,
#12283,
#12285,
#12287,
#12288,
#12289,
#12291,
#12293,
#12296,
#12298,
#12299,
#12301,
#12303,
#12305,
#12306,
#12308,
#12310,
#12312,
#12314,
#12316,
#12318,
#12320,
#12322,
#12326,
#12330,
#12333,
#12335,
#12337,
#12339,
#12340,
#12342,
#12344,
#12348,
#12350,
#12352,
#12353,
#12355,
#12357,
#12359,
#12361,
#12363,
#12365,
#12367,
#12370,
#12373,
#12375,
#12377,
#12378,
#12381,
#12384,
#12385,
#12387,
#12389,
#12390,
#12393,
#12395,
#12397,
#12399,
#12401,
#12403,
#12405,
#12407,
#12408,
#12410,
#12411,
#12414,
#12416,
#12419,
#12422,
#12427,
#12431,
#12437,
#12442,
#12448,
#12455,
#12459,
#12463,
#12467,
#12472,
#12478,
#12482,
#12489,
#12494,
#12500,
#12504,
#12508,
#12513,
#12518,
#12527,
#12534,
#12539,
#12547,
#12554,
#12559,
#12564,
#12573,
#12577,
#12582,
#12588,
#12593,
#12598,
#12602,
#12608,
#12616,
#12624,
#12629,
#12634,
#12638,
#12642,
#12651,
#12660,
#12664,
#12668,
#12676,
#12680,
#12683,
#12687,
#12694,
#12700,
#12706,
#12710,
#12715,
#12725,
#12733,
#12737,
#12741,
#12745,
#12750,
#12756,
#12760,
#12764,
#12769,
#12793,
#12800,
#12805,
#12811,
#12815,
#12822,
#12828,
#12833,
#12837,
#12843,
#12847,
#12851,
#12855,
#12859,
#12865,
#12872,
#12880,
#12894,
#12904,
#12908,
#12915,
#12921,
#12935,
#12943,
#12948,
#12958,
#12966,
#12973,
#12979,
#12986,
#12989,
#12994,
#13000,
#13006,
#13011,
#13016,
#13021,
#13026,
#13031,
#13037,
#13042,
#13048,
#13054,
#13062,
#13064,
#13066,
#13067,
#13070,
#13073,
#13075,
#13076,
#13078,
#13080,
#13082,
#13085,
#13086,
#13087,
#13088,
#13089,
#13091,
#13092,
#13094,
#13095,
#13097,
#13099,
#13102,
#13105,
#13107,
#13109,
#13111,
#13113,
#13114,
#13115,
#13116,
#13118,
#13120,
#13121,
#13122,
#13125,
#13127,
#13129,
#13131,
#13134,
#13135,
#13136,
#13139,
#13140,
#13141,
#13143,
#13145,
#13147,
#13149,
#13150,
#13151,
#13152,
#13155,
#13156,
#13158,
#13159,
#13160,
#13162,
#13163,
#13165,
#13166,
#13167,
#13168,
#13169,
#13170,
#13172,
#13174,
#13176,
#13177,
#13178,
#13179,
#13180,
#13181,
#13182,
#13183,
#13184,
#13186,
#13187,
#13190,
#13193,
#13196,
#13198,
#13200,
#13203,
#13204,
#13206,
#13208,
#13209,
#13212,
#13214,
#13216,
#13218,
#13219,
#13221,
#13222,
#13223,
#13224,
#13225,
#13226,
#13228,
#13230,
#13232,
#13234,
#13236,
#13238,
#13240,
#13242,
#13243,
#13244,
#13247,
#13250,
#13253,
#13255,
#13257,
#13259,
#13261,
#13264,
#13266,
#13268,
#13270,
#13273,
#13276,
#13278,
#13281,
#13285,
#13289,
#13293,
#13294,
#13297,
#13299,
#13300,
#13302,
#13305,
#13310,
#13313,
#13317,
#13319,
#13321,
#13324,
#13328,
#13331,
#13334,
#13337,
#13339,
#13341,
#13343,
#13345,
#13347,
#13349,
#13351,
#13353,
#13355,
#13356,
#13358,
#13360,
#13363,
#13365,
#13367,
#13369,
#13371,
#13373,
#13374,
#13376,
#13378,
#13380,
#13382,
#13384,
#13386,
#13388,
#13390,
#13393,
#13395,
#13397,
#13399,
#13400,
#13402,
#13404,
#13405,
#13407,
#13408,
#13410,
#13412,
#13413,
#13414,
#13415,
#13416,
#13418,
#13420,
#13422,
#13424,
#13425,
#13428,
#13430,
#13431,
#13433,
#13435,
#13436,
#13445,
#13450,
#13456,
#13461,
#13471,
#13478,
#13483,
#13490,
#13494,
#13501,
#13509,
#13518,
#13525,
#13532,
#13539,
#13548,
#13563,
#13569,
#13578,
#13587,
#13595,
#13612,
#13631,
#13638,
#13645,
#13650,
#13693,
#13720,
#13767,
#13774,
#13826,
#13878,
#13935,
#14097,
#14235,
#14319,
#14461,
#14469,
#14478,
#14536,
#14641,
#14665,
#14700,
#14708,
#14805,
#14820,
#14837,
#14843,
#14859,
#14907,
#15048,
#15144,
#15158,
#15214,
#15352,
#15359,
#15363,
#15368,
#15372,
#15382,
#15389,
#15395,
#15401,
#15408,
#15413,
#15417,
#15422,
#15425,
#15432,
#15440,
#15446,
#15453,
#15455,
#15462,
#15466,
#15471,
#15479,
#15483,
#15488,
#15494,
#15503,
#15507,
#15514,
#15522,
#15529,
#15535,
#15538,
#15542,
#15545,
#15551,
#15554,
#15558,
#15563,
#15569,
#15573,
#15578,
#15588,
#15591,
#15594,
#15600,
#15604,
Message Table:
#00001:Welcome to Dungeon. This version created 2021-10-31.
#00008:Done.
#00009:Revision history:
      :2021-10-31 V2.8B Database recompiled and reindexed.
      :2021-10-12 Assimilated V2.7A into V2.8A.
      :2021-09-27 V2.8A Translated V2.6A to C99.
      :1991-03-11 V2.7A Converted to C (based on V2.6B).
      :1987-09-14 V2.6B Converted to f77/Unix for pdps and Vaxen.
      :1987-02-11 V2.6A Converted to f77/Unix.
      :1987-02-09 Cleanup II, the PDP and Vax versions were merged.
      :1986-12-11 Cleanup I (include files and comments added)
      :1985-12    Converted from PDP to Vax
      :1981-11-17 DEC Fortran to f77 Conversion for PDP-11 machines
      :1980-10-08 DEC Fortran version
      :1980-07-18 V2.5A Transportable data base file.
      :1980-02-28 V2.4A Compressed text file.
      :1979-11-15 V2.3A Bug fixes.
      :1979-01-18 V2.2A Revised DECUS version.
      :1978-10-10 V2.1A Puzzle Room.
      :1978-09-10 V2.0A Endgame.
      :1978-08-10 V1.1B DECUS version.
      :1978-06-14 V1.1A Public version with parser.
      :1978-03-04 V1.0A Debugging version.
#00118:Useful commands:
      :
      :   The 'BRIEF' command suppresses printing of long room descriptions
      :for rooms which have been visited.  The 'SUPERBRIEF' command suppresses
      :printing of long room descriptions for all rooms.  The 'VERBOSE'
      :command restores long descriptions.
      :   The 'INFO' command prints information which might give some idea
      :of what the game is about.
      :   The 'QUIT' command prints your score and asks whether you wish
      :to continue playing.
      :   The 'SAVE' command saves the state of the game for later continuation.
      :   The 'RESTORE' command restores a saved game.
      :   The 'INVENTORY' command lists the objects in your possession.
      :   The 'LOOK' command prints a description of your surroundings.
      :   The 'SCORE' command prints your current score and ranking.
      :   The 'TIME' command tells you how long you have been playing.
      :   The 'DIAGNOSE' command reports on your injuries, if any.
      :
      :Command abbreviations:
      :
      :   The 'INVENTORY' command may be abbreviated 'I'.
      :   The 'LOOK' command may be abbreviated 'L'.
      :   The 'QUIT' command may be abbreviated 'Q'.
      :
      :Containment:
      :
      :   Some objects can contain other objects.  Many such containers can
      :be opened and closed.  The rest are always open.   They may or may
      :not be transparent.  For you to access (e.g., take) an object
      :which is in a container, the container must be open.  For you
      :to see such an object, the container must be either open or
      :transparent.  Containers have a capacity, and objects have sizes;
      :the number of objects which will fit therefore depends on their
      :sizes.  You may put any object you have access to (it need not be
      :in your hands) into any other object.  At some point, the program
      :will attempt to pick it up if you don't already have it, which
      :process may fail if you're carrying too much.  Although containers
      :can contain other containers, the program doesn't access more than
      :one level down.
      :
      :Fighting:
      :
      :   Occupants of the dungeon will, as a rule, fight back when
      :attacked.  In some cases, they may attack even if unprovoked.
      :Useful verbs here are 'ATTACK <villain> WITH <weapon>', 'KILL',
      :etc.  Knife-throwing may or may not be useful.  You have a
      :fighting strength which varies with time.  Being in a fight,
      :getting killed, and being injured all lower this strength.
      :Strength is regained with time.  Thus, it is not a good idea to
      :fight someone immediately after being killed.  Other details
      :should become apparent after a few melees or deaths.
      :
      :Command parser:
      :
      :   A command is one line of text terminated by a carriage return.
      :For reasons of simplicity, all words are distinguished by their
      :first six letters.  All others are ignored.  For example, typing
      :'DISASSEMBLE THE ENCYCLOPEDIA' is not only meaningless, it also
      :creates excess effort for your fingers.  Note that this truncation
      :may produce ambiguities in the intepretation of longer words.
      :
      :   You are dealing with a fairly stupid parser, which understands
      :the following types of things--
      :
      :   Actions:
      :	Among the more obvious of these, such as TAKE, PUT, DROP, etc.
      :	Fairly general forms of these may be used, such as PICK UP,
      :	PUT DOWN, etc.
      :
      :   Directions:
      :	NORTH, SOUTH, UP, DOWN, etc. and their various abbreviations.
      :	Other more obscure directions (LAND, CROSS) are appropriate in
      :	only certain situations.
      :
      :   Objects:
      :	Most objects have names and can be referenced by them.
      :
      :   Adjectives:
      :	Some adjectives are understood and required when there are
      :	two objects which can be referenced with the same 'name' (e.g.,
      :	DOORs, BUTTONs).
      :
      :   Prepositions:
      :	It may be necessary in some cases to include prepositions, but
      :	the parser attempts to handle cases which aren't ambiguous
      :	without.  Thus 'GIVE CAR TO DEMON' will work, as will 'GIVE DEMON
      :	CAR'.  'GIVE CAR DEMON' probably won't do anything interesting.
      :	When a preposition is used, it should be appropriate;  'GIVE CAR
      :	WITH DEMON' won't parse.
      :
      :   Sentences:
      :	The parser understands a reasonable number of syntactic constructions.
      :	In particular, multiple commands (separated by commas)
      :	can be placed on the same line.
      :
      :   Ambiguity:
      :	The parser tries to be clever about what to do in the case of
      :	actions which require objects that are not explicitly specified.
      :	If there is only one possible object, the parser will assume
      :	that it should be used.  Otherwise, the parser will ask.
      :	Most questions asked by the parser can be answered.
#00660:Welcome to Dungeon!
      :
      :   You are near a large dungeon, which is reputed to contain vast
      :quantities of treasure.   Naturally, you wish to acquire some of it.
      :In order to do so, you must of course remove it from the dungeon.  To
      :receive full credit for it, you must deposit it safely in the trophy
      :case in the living room of the house.
      :
      :   In addition to valuables, the dungeon contains various objects
      :which may or may not be useful in your attempt to get rich.  You may
      :need sources of light, since dungeons are often dark, and weapons,
      :since dungeons often have unfriendly things wandering about.  Reading
      :material is scattered around the dungeon as well;  some of it
      :is rumored to be useful.
      :
      :   To determine how successful you have been, a score is kept.
      :When you find a valuable object and pick it up, you receive a
      :certain number of points, which depends on the difficulty of finding
      :the object.  You receive extra points for transporting the treasure
      :safely to the living room and placing it in the trophy case.  In
      :addition, some particularly interesting rooms have a value associated
      :with visiting them.  The only penalty is for getting yourself killed,
      :which you may do only twice.
      :
      :   Of special note is a thief (always carrying a large bag) who
      :likes to wander around in the dungeon (he has never been seen by the
      :light of day).  He likes to take things.  Since he steals for pleasure
      :rather than profit and is somewhat sadistic, he only takes things which
      :you have seen.  Although he prefers valuables, sometimes in his haste
      :he may take something which is worthless.  From time to time, he examines
      :his take and discards objects which he doesn't like.  He may occasionally
      :stop in a room you are visiting, but more often he just wanders
      :through and rips you off (he is a skilled pickpocket).
#00886:Please answer the question.
#00890:You clearly are a suicidal maniac.  We don't allow psychotics in the
      :dungeon, since they may harm other adventurers.  Your remains will be
      :installed in the land of the living dead, where your fellow adventurers
      :may gloat over them.
#00919:What?  You don't trust me?  Why, only last week I patched a running
      :RSX system and it survived for over thirty seconds.  Oh, well.
#00936:Now let me see...
      :Well, we weren't quite able to restore your state.  You can't have
      :everything.
#00949:Do you wish me to try to patch you?
#00954:You are behind the white house.  In one corner of the house
      :there is a window which is #.
#00966:open
#00967:slightly ajar
#00969:You are in the kitchen of the white house.  A table seems to have
      :been used recently for the preparation of food.  A passage leads to
      :the west, and a dark staircase can be seen leading upward.  To the
      :east is a small window which is #.
#00999:You are in the living room.  There is a door to the east.  To the west
      :is a wooden door with strange gothic lettering, which appears to be
      :nailed shut.
#01018:You are in the living room.  There is a door to the east.  To the west
      :is a cyclops-shaped hole in an old wooden door, above which is some
      :strange gothic lettering.
#01039:In the center of the room is a large oriental rug.
#01046:In the center of the room is a closed trap door.
#01053:In the center of the room is an open trap door.
#01059:There is a rug lying next to an open trap door.
#01065:You are in a dark and damp cellar with a narrow passageway leading
      :east, and a crawlway to the south.  To the west is the bottom of a
      :steep metal ramp which is unclimbable.
#01087:The door crashes shut, and you hear someone barring it.
#01094:You are in a small room near the maze.  There are twisty
      :passages in the immediate vicinity.
#01106:Above you is a grating locked with a skull-and-crossbones lock.
#01114:Above you is an open grating with sunlight pouring in.
#01121:Above you is a grating.
#01124:You are in a clearing, with a forest surrounding you on the west
      :and south.
#01134:There is a grating securely fastened into the ground.
#01141:There is an open grating descending into darkness.
#01148:A grating appears on the ground.
#01153:You are in a long room on the south shore of a large reservoir.
#01161:You are in a long room, to the north of which was formerly a
      :reservoir.  However, with the water level lowered, there is merely
      :a wide stream running through the center of the room.
#01184:There is a western exit, a passageway south, and a steep pathway
      :climbing up along the edge of a cliff.
#01197:You are on the reservoir.  Beaches can be seen north and south.
      :Upstream a small stream enters the reservoir through a narrow
      :cleft in the rocks.  The dam can be seen downstream.
#01220:You are on what used to be a large reservoir, but which is now a
      :large mud pile.  There are 'shores' to the north and south.
#01236:You are in a large cavernous room, north of a large reservoir.
#01244:You are in a large cavernous room, to the south of which was formerly
      :a reservoir.  However, with the water level lowered, there is merely
      :a wide stream running through the center of the room.
#01269:There is a tunnel leaving the room to the north.
#01276:You are in a large room with giant icicles hanging from the walls
      :and ceiling.  There are passages to the north and east.
#01292:Part of the glacier has been melted.
#01297:There is a large passageway leading westward.
#01303:You are in a large square room with tall ceilings.  There are exits
      :on the north, east, and west sides of the room.  On the south wall is
      :an enormous mirror which fills the entire wall.
#01327:Unfortunately, you have managed to destroy it by your reckless
      :actions.
#01336:		BOOOOOOOOOM
#01338:You are in large room which seems to be air conditioned.  In one
      :corner there is a machine (?) which is shaped somewhat like a clothes
      :dryer.  On the 'panel' there is a switch which is labelled in an
      :obscure dialect of Swahili.  Fortunately, I know this dialect, and the
      :label translates to 'START'.  The switch does not appear to be manipulable
      :by any human hand (unless the fingers are about 1/16 by 1/4
      :inch).  On the front of the machine is a large lid, which is #.
#01397:closed
#01398:The cave is very windy at the moment, and your candles have blown out.
#01407:You are in a small room that has only one door, to the east.
#01415:In the corner of the room on the ceiling is a large vampire bat who
      :is obviously deranged and holding his nose.
#01429:A deranged vampire bat (a reject from WUMPUS) swoops down
      :from the ceiling and lifts you away...
#01442:You are at the periphery of a large dome, which forms the ceiling
      :of another room below.  Protecting you from a precipitous drop is a
      :wooden railing which circles the dome.
#01464:Hanging down from the railing is a rope which ends about ten feet
      :from the floor below.
#01475:I'm afraid that the leap you attempted has done you in.
#01482:You are in a large room with a prominent doorway leading to a down
      :staircase.  To the west is a narrow twisting tunnel.  Above you is a
      :large dome painted with scenes depicting elvish hacking rites.  Up
      :around the edge of the dome (20 feet up) is a wooden railing.  In the
      :center of the room there is a white marble pedestal.
#01523:A large piece of rope descends from the railing above, ending some
      :five feet above your head.
#01535:You are in a circular room with passages off in eight directions.
#01544:Your compass needle spins wildly, and you cannot get your bearings.
#01553:According to Prof. TAA of MIT Tech, the rapidly changing magnetic
      :fields in the room are so intense as to cause you to be electrocuted.
      :I really don't know, but in any event, something has killed you.
#01579:You are outside a large gateway, on which is inscribed:
      :
      :	"Abandon every hope, all ye who enter here."
      :
      :The gate is open.  Through it you can see a desolation, with a pile of
      :mangled corpses in one corner.  Thousands of voices, lamenting some
      :hideous fate, can be heard.
#01613:The way through the gate is barred by evil spirits, who jeer at your
      :attempts to pass.
#01624:There is a clap of thunder, and a voice echoes through the
      :cavern:  "Begone, chomper!"  Apparently, the voice thinks you
      :are an evil spirit and dismisses you from the land of the living.
#01648:You are not equipped for an exorcism.
#01653:There is a clap of thunder, and a voice echoes through the
      :cavern:  "Begone, fiends!"  The spirits, sensing the presense
      :of a greater power, flee through the walls.
#01674:You have entered the land of the living dead, a large desolate
      :room.  Although it is apparently uninhabited, you can hear the
      :sounds of thousands of lost souls weeping and moaning.  In
      :the east corner are stacked the remains of dozens of previous
      :adventurers who were less fortunate than yourself.  To the east
      :is an ornate passage, apparently recently constructed.
#01720:Amid the desolation, you spot what appears to be your head,
      :tastefully impaled on the end of a long pole.
#01734:You are standing on the top of flood control dam #3, which was
      :quite a tourist attraction in times far distant.  There are paths
      :to the north, south, east, and down.
#01755:The sluice gates on the dam are closed.  Behind the dam, there can
      :be seen a wide lake.  A small stream is formed by the runoff from
      :the lake.
#01773:It appears that the dam has been opened, since the water level behind
      :the dam is low and the sluice gate is open.  Water is rushing downstream
      :through the gates.
#01794:There is a control panel here.  There is a large metal bolt on the
      :panel.  Above the bolt is a small green plastic bubble.
#01810:The green bubble is glowing.
#01814:The water level is now up to your ankles.
#01820:The water level is now up to your shins.
#01826:The water level is now up to your knees.
#01832:The water level is now up to your hips.
#01837:The water level is now up to your waist.
#01843:The water level is now up to your chest.
#01849:The water level is now up to your neck.
#01854:The water level is now over your head.
#01859:The water level is now high in your lungs.
#01865:The room is full of water and cannot be entered.
#01872:I'm afraid you have done drowned yourself.
#01878:You hear a scream of anguish as you violate the robber's hideaway.
      :Using passages unknown to you, he rushes to its defense.
#01894:The thief gestures mysteriously, and the treasures in the room
      :suddenly vanish.
#01904:Something seems funny about the feel of the buoy.
#01911:Oh dear, you seem to have gone over Aragain Falls.  Not a very
      :smart thing to do, apparently.
#01923:You seem to be digging a hole here.
#01928:The hole is getting deeper, but that's about it.
#01935:You are surrounded by a wall of sand on all sides.
#01942:You can see a small statue in the sand.
#01947:The wall collapses, smothering you.
#01952:There is nothing to dig into here.
#01957:You are digging into a pile of bat guano.
#01963:You seem to be getting knee deep in guano.
#01969:You are covered with bat turds, cretin.
#01974:This is getting you nowhere.
#01978:You are at the top of Aragain Falls, an enormous waterfall with a
      :drop of about 450 feet.  The only path here is on the north end.
      :There is a man-sized barrel here which you could fit into.
#02002:A beautiful rainbow can be seen over the falls and to the east.
#02010:A solid rainbow spans the falls.
#02015:According to Prof. TAA of MIT Tech, the rapidly changing magnetic
      :fields in the room are so intense as to fry all the delicate innards
      :of the robot.  I really don't know, but in any event, smoke is coming
      :out of its ears, and it has stopped moving.
#02047:You are on a wide ledge high into the volcano.  The rim of the
      :volcano is about 200 feet above, and there is a precipitous drop
      :below to the floor.
#02066:The way to the south is blocked by rubble.
#02072:There is a small door to the south.
#02077:You are in a dusty old room which is virtually featureless, except
      :for an exit on the north side.
#02090:Imbedded in the far wall is a rusty old box.  It appears that
      :the box is somewhat damaged, since an oblong hole has been
      :chipped out of the front of it.
#02110:On the far wall is a rusty box, whose door has been blown off.
#02118:You are in a room with a low ceiling which is circular in shape.
      :There are exits to the east and southeast.
#02132:As you enter, your compass starts spinning wildly.
#02139:The ledge has collapsed and cannot be landed on.
#02146:The ledge collapses, giving you a narrow escape.
#02153:The force of the explosion has caused the ledge to collapse belatedly.
#02162:The ledge collapses, leaving you with no place to land.
#02169:The ledge collapses, probably as a result of the explosion.  A large
      :chunk of it, which is attached to the hook, drags you down to the
      :ground.  Fatally.
#02189:The way is blocked by debris from an explosion.
#02195:You may recall your recent explosion.  Well, probably as a result of
      :that, you hear an ominous rumbling, as if one of the rooms in the
      :dungeon has collapsed.
#02215:The room trembles and 50,000 pounds of rock fall on you,
      :turning you into a pancake.
#02226:The house shakes, and the ceiling of the room you're in collapses,
      :turning you into a pancake.
#02238:A volcano gnome seems to walk straight out of the wall and says,
      :"I have a very busy appointment schedule and little time to waste on
      :trespassers, but for a very small fee, I'll show you the way out."
      :You notice that the gnome is nervously glancing at his watch.
#02271:Suddenly a sinister, wraithlike figure, cloaked and hooded, appears
      :seeming to float in the air before you.  In a low, almost inaudible
      :voice he says, "I welcome you to the ranks of the chosen of Zork.  You
      :have persisted through many trials and tests and have overcome them
      :all.  One such as yourself is fit to join even the implementers!"
      :He then raises his oaken staff and, chuckling, drifts away like a
      :wisp of smoke, his laughter fading in the distance.
#02329:Problem reports and suggestions may currently be forwarded to:
      :		https://github.com/LydiaMarieWilliamson/zork-fortran
      :This is subject to future change.
#02348:Unfortunately, it is impossible to tell directions in here.
#02356:The slag turns out to be rather insubstantial and crumbles into dust
      :at your touch.  It must not have been very valuable.
#02372:The lid opens.
#02374:The lid closes.
#02376:Look around.
#02378:You think it isn't?
#02381:I think you've already done that.
#02386:The trophy case is securely fastened to the wall (perhaps to foil any
      :attempt by robbers to remove it).
#02399:The bottle hits the far wall and is decimated.
#02405:The basket is at the other end of the chain.
#02411:A brilliant maneuver destroys the bottle.
#02417:The water splashes on the walls and evaporates immediately.
#02425:The water spills to the floor and evaporates immediately.
#02433:It is not tied to anything.
#02437:There is nothing it can be tied to.
#02442:The rope is already attached.
#02446:The rope drops over the side and comes within ten feet of the floor.
#02455:I see no objects here.
#02458:Although you tied it incorrectly, the rope becomes free.
#02466:The rope drops gently to the floor below.
#02472:The rope is tied to the railing.
#02477:The lamp has smashed into the floor, and the light has gone out.
#02486:The rug is too heavy to lift, but in trying to raise it you
      :notice an irregularity beneath it.
#02498:The rug is extremely heavy and cannot be carried.
#02505:With a great effort, the rug is moved to one side of the room.
      :With the rug moved, the dusty cover of a closed trap door appears.
#02522:Having moved the carpet previously, you find it impossible
      :to move it again.
#02532:You are stopped by a cloud of poisonous gas.
#02538:Time passes... and you die from some obscure poisoning.
#02545:The gnome glances at his watch.  "Oops!  I'm late for an
      :an appointment."  He disappears, leaving you alone on the shelf.
#02561:Now you've done it.  It seems that the brick has other properties
      :than weight, namely the ability to blow you to smithereens.
#02577:There is an explosion nearby.
#02581:The wire rapidly burns into nothing.
#02586:The match has gone out.
#02589:The lamp appears to be getting dimmer.
#02594:The lamp is dying.
#02597:The candles grow short.
#02600:The candles are very short.
#02604:The leaves burn, and the neighbors start to complain.
#02611:The sight of someone carrying a pile of burning leaves so offends
      :the neighbors that they come over and put you out.
#02626:As you pick up the rusty knife, your sword gives a single pulse
      :of blinding blue light.
#02637:As the knife approaches its victim, your mind is submerged by an
      :overmastering will.  Slowly, your hand turns, until the rusty blade
      :is an inch from your neck.  The knife seems almost to sing as it
      :savagely cuts your throat.
#02666:A ghost appears in the room and is appalled by your desecration
      :of the remains of a fellow adventurer.  He casts a curse on
      :all of your valuables and orders them banished to the land of
      :the living dead.  The ghost leaves, muttering obscenities.
#02697:There is a rumble from deep within the earth, and the room shakes.
#02706:There is an ugly person staring at you.
#02711:The mirror is broken into many pieces.
#02716:Nobody but a greedy surgeon would allow you to attempt that trick.
#02725:You have broken the mirror.  I hope you have a seven years supply of
      :good luck available.
#02737:Haven't you done enough already?
#02742:The torch hits the glacier and explodes into a great ball of flame,
      :devouring the glacier.  The water from the melting glacier rushes
      :downstream, carrying the torch with it.  In place of the glacier,
      :there is a passageway leading west.
#02772:The melting glacier seems to have carried the torch away, leaving
